id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
27363,4411903011,มหาธาตุ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-19,ไม่ได้รับ,-,,นาพู่,เพ็ญ,อุดรธานี,41150,,,,,,,5,,,,,,,,,
27364,3530701002,มหาธาตุ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1905-10-23,ได้รับ,2522-06-24,,ในเมือง,พิชัย,อุตรดิตถ์,53120,,,,,,,3,,,,,,,,,
27365,3530503001,มหาธาตุ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1905-10-05,ได้รับ,1905-10-06,,บ้านเสี้ยว,ฟากท่า,อุตรดิตถ์,53160,,,,,,,1,,,,,,,,,
27366,4410401010,มหาธาตุเจดีย์,วัดราษฎร์,ธรรมยุต,ตั้งวัด,1906-09-06,ได้รับ,1906-11-17,,ตูมใต้,กุมภวาปี,อุดรธานี,41110,,,,,,,5,,,,,,,,,
27367,4410406015,มหาธาตุเจติยาราม,วัดราษฎร์,ธรรมยุต,ตั้งวัด,2556-01-03,ไม่ได้รับ,-,,เชียงแหว,กุมภวาปี,อุดรธานี,41110,,,,,,,2,,,,,,,,,
27368,4410406007,มหาธาตุเทพจินดา,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-31,ได้รับ,2552-07-13,,เชียงแหว,กุมภวาปี,อุดรธานี,41110,,,,,,,5,,,,,,,,,
27369,1100101003,มหาธาตุยุวราชรังสฤษฎิ์,พระอารามหลวง,มหานิกาย,ตั้งวัด,1906-04-28,ได้รับ,1906-04-28,//,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,,,,,,,,,,,,,,,,
27370,5810503002,มหาธาตุวชิรมงคล,พระอารามหลวง,มหานิกาย,ตั้งวัด,1906-10-18,ได้รับ,2551-01-17,//,นาเหนือ,อ่าวลึก,กระบี่,81110,,,,,,,3,,,,,,,,,
27371,5810502002,มหาธาตุแหลมสัก,วัดราษฎร์,ธรรมยุต,ตั้งวัด,2530-05-25,ได้รับ,2540-02-03,,แหลมสัก,อ่าวลึก,กระบี่,81110,,,,,,,3,,,,,,,,,
27372,2150202003,มหานาม,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-05-07,ได้รับ,2557-08-22,,ไชยภูมิ,ไชโย,อ่างทอง,14140,,,,,,,4,,,,,,,,,
